Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
HMGN2P30		7p14.1	AMP	9	571	1.6%	No
TAF13P2		2p13.1	HOMDEL	1	571	0.2%	No
GUCY2C-AS1		12p12.3	AMP	44	571	7.7%	No
DESI2		1q44	AMP	27	571	4.7%	No
IST1		16q22.2	AMP	1	571	0.2%	No
TAF4		20q13.33	AMP	61	571	10.7%	No
RNU1-138P		4q26	HOMDEL	1	571	0.2%	No
IGHD4-4		14q32.33	AMP	83	571	14.5%	No
R3HCC1L		10q24.2	HOMDEL	1	571	0.2%	No
GAPDH-DT		12p13.31	AMP	49	571	8.6%	No
EEF1AKMT4-ECE2		3q27.1	AMP	73	571	12.8%	No
RPL9P16		4q32.3	AMP	3	571	0.5%	No
KDELR3		22q13.1	AMP	6	571	1.1%	No
LINC02838		7p12.3	AMP	6	571	1.1%	No
NFU1P1		3p22.1	AMP	5	571	0.9%	No
ZSCAN26		6p22.1	AMP	20	571	3.5%	No
RNU6-1284P		3q22.3	AMP	26	571	4.6%	No
TONSL		8q24.3	AMP	109	571	19.1%	Yes
FSCN1P1		15q14	HOMDEL	8	571	1.4%	No
OR10K1		1q23.1	AMP	17	571	3.0%	No
ATP6V0E1P4		1p33	AMP	11	571	1.9%	No
NIFKP7		3p22.3	AMP	5	571	0.9%	No
LINC02684		11q25	AMP	10	571	1.8%	No
DCTN5		16p12.2	AMP	2	571	0.4%	No
RPL23AP54		8p23.2	HOMDEL	8	571	1.4%	No
MAPRE1		20q11.21	AMP	39	571	6.8%	No
HMGN2P38		11q13.4	AMP	20	571	3.5%	No
PPM1K		4q22.1	AMP	1	571	0.2%	No
HDAC7		12q13.11	AMP	6	571	1.1%	Yes
ZSCAN25		7q22.1	AMP	11	571	1.9%	No
HMGN2P39		13q21.1	AMP	5	571	0.9%	No
PLA2G10		16p13.12	AMP	6	571	1.1%	No
RNU1-61P		6p21.32	AMP	34	571	6.0%	No
MVK		12q24.11	AMP	3	571	0.5%	No
DCTN6		8p12	AMP	1	571	0.2%	No
LINC02837		18q21.1	AMP	2	571	0.4%	No
RN7SL663P		19q13.13	AMP	57	571	10.0%	No
TAF3		10p14	AMP	22	571	3.9%	No
PPM1L		3q25.33-q26.1	AMP	52	571	9.1%	No
LINC02683		11p15.2	AMP	3	571	0.5%	No
NIFKP6		19q13.41	AMP	8	571	1.4%	No
BCAP29		7q22.3	AMP	9	571	1.6%	No
HSPA13		21q11.2	HOMDEL	8	571	1.4%	No
PLEKHA8		7p14.3	AMP	11	571	1.9%	No
NFU1P2		1p21.3	AMP	8	571	1.4%	No
NRG1		8p12	HOMDEL	1	571	0.2%	Yes
BZW1-AS1		2q33.1	AMP	15	571	2.6%	No
RPL23AP53		8p23.3	HOMDEL	18	571	3.2%	No
RPL13AP		6p22.1	AMP	18	571	3.2%	No
MKNK2P1		10p11.21	AMP	21	571	3.7%	No
POLRMT		19p13.3	AMP	2	571	0.4%	No
CCNY		10p11.21	HOMDEL	1	571	0.2%	No
LINC02836		6q21	AMP	9	571	1.6%	No
SSTR2		17q25.1	AMP	3	571	0.5%	No
UGT1A13P		2q37.1	AMP	7	571	1.2%	No
PLCZ1		12p12.3	AMP	62	571	10.9%	No
UGT8		4q26	HOMDEL	1	571	0.2%	No
MRPL10		17q21.32	AMP	3	571	0.5%	No
LINC02682		11p15.2	AMP	2	571	0.4%	No
RPL9P14		2q33.3	AMP	9	571	1.6%	No
HDAC5		17q21.31	AMP	1	571	0.2%	No
ARFRP1		20q13.33	AMP	61	571	10.7%	Yes
TAF6		7q22.1	AMP	12	571	2.1%	No
RNU5A-6P		18q11.2	AMP	20	571	3.5%	No
SCARNA1		1p35.3	AMP	3	571	0.5%	No
NIFKP9		2q14.3	AMP	7	571	1.2%	No
RPL23AP55		8p21.3	HOMDEL	1	571	0.2%	No
RIMBP3B		22q11.21	AMP	8	571	1.4%	No
LINC02835		4q13.1	AMP	9	571	1.6%	No
TAF5		10q24.33	AMP	1	571	0.2%	No
LINC02681		10q24.32	AMP	1	571	0.2%	No
COL18A1		21q22.3	AMP	7	571	1.2%	No
KLF4P1		9p24.1	AMP	7	571	1.2%	No
MRPL11		11q13.2	AMP	9	571	1.6%	No
SSTR1		14q21.1	AMP	3	571	0.5%	No
EIF4EP5		8p22	HOMDEL	1	571	0.2%	No
SPCS3-AS1		4q34.2	AMP	3	571	0.5%	No
RPS11P1		20p12.2	AMP	28	571	4.9%	No
OR10K2		1q23.1	AMP	17	571	3.0%	No
NUP54		4q21.1	AMP	12	571	2.1%	No
RPL9P15		3q25.2	AMP	42	571	7.4%	No
SCARNA2		1q13.1	AMP	9	571	1.6%	No
NIFKP8		15q25.3	AMP	7	571	1.2%	No
PPM1J		1p13.2	AMP	5	571	0.9%	No
RPS26P52		16p13.12	AMP	8	571	1.4%	No
REPS1		6q24.1	AMP	4	571	0.7%	No
MRPL12		17q25.3	AMP	13	571	2.3%	No
PSMD6-AS2		3p14.1	AMP	8	571	1.4%	No
OR4C3		11p11.2	AMP	2	571	0.4%	No
GABARAP		17p13.1	AMP	4	571	0.7%	No
FAM3B		21q22.3	AMP	4	571	0.7%	No
LINC02687		11p11.2	AMP	4	571	0.7%	No
RN7SL100P		9p21.2	HOMDEL	3	571	0.5%	No
RIMBP3C		22q11.21	AMP	7	571	1.2%	No
CNOT8		5q33.2	AMP	2	571	0.4%	No
BORCS5		12p13.2	AMP	43	571	7.5%	No
HMGN2P35		10q24.1	AMP	2	571	0.4%	No
CYP51A1P1		3p12.2	AMP	10	571	1.8%	No
SCARNA3		1q25.1	AMP	14	571	2.5%	No
KIF23-AS1		15q23	AMP	2	571	0.4%	No
ANKRD10-IT1		13q34	AMP	6	571	1.1%	No
OR11K1P		15q11.2	HOMDEL	2	571	0.4%	No
MON2		12q14.1	AMP	10	571	1.8%	No
CD160		1q21.1	AMP	45	571	7.9%	No
SPECC1		17p11.2	AMP	1	571	0.2%	No
MC1R		16q24.3	AMP	2	571	0.4%	No
RNU6ATAC7P		17q11.2	HOMDEL	5	571	0.9%	No
RNU6-407P		20q11.22	AMP	39	571	6.8%	No
LINC02686		11p14.3	AMP	2	571	0.4%	No
PSMD6-AS1		3p14.1	AMP	8	571	1.4%	No
PTPRJ-AS1		11p11.2	AMP	1	571	0.2%	No
ATP6V0E1P1		5q31.1	AMP	4	571	0.7%	No
FAM3C		7q31.31	AMP	16	571	2.8%	No
HFM1		1p22.2	AMP	10	571	1.8%	No
BORCS6		17p13.1	AMP	2	571	0.4%	No
CNOT9		2q35	AMP	8	571	1.4%	No
FRG2GP		16p11.1	AMP	14	571	2.5%	No
LINC03124		2q21.2	AMP	5	571	0.9%	No
KDELR1		19q13.33	AMP	6	571	1.1%	No
ELOCP3		10p14	AMP	21	571	3.7%	No
LNC-RHL1		11q23.3	AMP	6	571	1.1%	No
MRPL13		8q24.12	AMP	104	571	18.2%	No
CCDC30		1p34.2	AMP	28	571	4.9%	No
CNOT6		5q35.3	AMP	5	571	0.9%	No
ATP6V0E1P2		3p22.1	AMP	3	571	0.5%	No
RNU6-668P		4q32.3	HOMDEL	1	571	0.2%	No
BORCS7		10q24.32	AMP	2	571	0.4%	No
MAPRE3		2p23.3	AMP	10	571	1.8%	No
RPL9P18		6q12	AMP	24	571	4.2%	No
RN7SL353P		6p21.33	AMP	18	571	3.2%	No
OR8X1P		11q24.2	AMP	6	571	1.1%	No
SCARNA4		1q22	AMP	23	571	4.0%	No
FAM3D		3p14.2	AMP	5	571	0.9%	No
HMGN2P36		11p15.2	AMP	2	571	0.4%	No
PPM1M		3p21.2	AMP	6	571	1.1%	No
CYP51A1P3		6q24.3	AMP	3	571	0.5%	No
HMGB3P20		7p15.2	AMP	11	571	1.9%	No
PELP1		17p13.2	AMP	3	571	0.5%	No
GRASLND		2p25.1	AMP	10	571	1.8%	No
MRPL14		6p21.1	AMP	24	571	4.2%	No
LINC03123		5q12.1	AMP	1	571	0.2%	No
LINC03122		5q12.1	AMP	1	571	0.2%	No
MAPRE2		18q12.1-q12.2	AMP	14	571	2.5%	No
MRPS21P1		1p31.3	AMP	8	571	1.4%	No
CAPZB		1p36.13	AMP	4	571	0.7%	No
MMP10		11q22.2	AMP	12	571	2.1%	No
CNOT7		8p22	AMP	3	571	0.5%	No
AP2M1		3q27.1	AMP	71	571	12.4%	No
KDELR2		7p22.1	AMP	7	571	1.2%	No
SCARNA5		2q37.1	AMP	6	571	1.1%	No
ATP6V0E1P3		2p22.3	AMP	13	571	2.3%	No
HDAC9		7p21.1	AMP	12	571	2.1%	No
LINC02939		22q13.31	HOMDEL	1	571	0.2%	No
MVP		16p11.2	AMP	2	571	0.4%	No
PPM1N		19q13.32	AMP	11	571	1.9%	No
RB1		13q14.2	HOMDEL	11	571	1.9%	Yes
KPNA1		3q21.1	AMP	22	571	3.9%	No
PHACTR2P1		10q26.11	AMP	6	571	1.1%	No
RNU4-29P		9q21.32	AMP	3	571	0.5%	No
LINC02839		8q21.13	AMP	32	571	5.6%	No
TAF2		8q24.12	AMP	98	571	17.2%	No
MRPL15		8q11.23	AMP	38	571	6.7%	No
BORCS8		19p13.11	AMP	48	571	8.4%	No
DSP-AS1		6p24.3	AMP	22	571	3.9%	No
LINC02685		11p11.2	AMP	4	571	0.7%	No
CYP51A1P2		13q12.3	AMP	3	571	0.5%	No
MTCO1P5		3p25.2	AMP	6	571	1.1%	No
TRMT61B		2p23.2	AMP	13	571	2.3%	No
GLYCTK-AS1		3p21.1	AMP	6	571	1.1%	No
RPS11P5		12q24.33	AMP	2	571	0.4%	No
RERG-AS1		12p12.3	HOMDEL	2	571	0.4%	No
UBE2D3P2		3p22.2	AMP	5	571	0.9%	No
SMIM5		17q25.1	HOMDEL	2	571	0.4%	No
MRPL22		5q33.2	AMP	2	571	0.4%	No
LYRM4		6p25.1	AMP	20	571	3.5%	No
MTND1P22		4q32.1	AMP	2	571	0.4%	No
SNORA14B		1q42.3	AMP	29	571	5.1%	No
CEACAMP10		19q13.31	AMP	16	571	2.8%	No
PLA2G10DP		16p11.2	AMP	2	571	0.4%	No
RNU4-45P		21q21.1	AMP	12	571	2.1%	No
OR4U1P		14q11.2	HOMDEL	1	571	0.2%	No
DEPDC5		22q12.2-q12.3	AMP	8	571	1.4%	No
FOXD2-AS1		1p33	AMP	11	571	1.9%	No
SSH2		17q11.2	AMP	2	571	0.4%	No
PRH1		12p13.2	AMP	48	571	8.4%	No
OR2G6		1q44	AMP	28	571	4.9%	No
RPLP0P9		5q34	AMP	4	571	0.7%	No
AOC1		7q36.1	AMP	25	571	4.4%	No
DZIP3		3q13.13	AMP	32	571	5.6%	No
UBE2D3P1		20p12.3	AMP	28	571	4.9%	No
MTCO1P6		3p11.1	AMP	16	571	2.8%	No
COX6CP7		19q13.33	AMP	5	571	0.9%	No
AGAP11		10q23.2	AMP	1	571	0.2%	No
TRMT61A		14q32.33	AMP	9	571	1.6%	No
RNU6-253P		6q22.1	AMP	4	571	0.7%	No
HDAC11-AS1		3p25.1	AMP	5	571	0.9%	No
SSH1		12q24.11	AMP	3	571	0.5%	No
HFE		6p22.2	AMP	18	571	3.2%	Yes
GDF5		20q11.22	AMP	38	571	6.7%	No
FMO9P		1q24.1	AMP	17	571	3.0%	No
MTND1P23		1p36.33	AMP	11	571	1.9%	No
IGLV9-49		22q11.22	AMP	6	571	1.1%	No
ZNF891		12q24.33	HOMDEL	1	571	0.2%	No
WASH4P		16p13.3	AMP	11	571	1.9%	No
F13A1		6p25.1	AMP	20	571	3.5%	No
RPLP0P7		2q24.1	AMP	18	571	3.2%	No
RPL9P28		17q21.32	AMP	8	571	1.4%	No
WEE2P1		11p13	AMP	3	571	0.5%	No
LYRM2		6q15	AMP	12	571	2.1%	No
JPH1		8q21.11	AMP	29	571	5.1%	No
MTND1P20		10q22.1	AMP	2	571	0.4%	No
CACNA1H		16p13.3	AMP	8	571	1.4%	No
MTCO1P7		2q21.1	AMP	6	571	1.1%	No
SHB		9p13.1	AMP	6	571	1.1%	No
TPTEP2-CSNK1E		22q13.1	AMP	6	571	1.1%	No
CEACAMP11		19q13.31	AMP	16	571	2.8%	No
CRB3P1		3p26.3	AMP	4	571	0.7%	No
RN7SL338P		9p13.3	AMP	4	571	0.7%	No
RNU7-187P		11q23.2	HOMDEL	1	571	0.2%	No
MRPL24		1q23.1	AMP	17	571	3.0%	No
CDC37L1-DT		9p24.1	AMP	7	571	1.2%	No
GDF2		10q11.22	AMP	5	571	0.9%	No
FAM167B		1p35.2	AMP	11	571	1.9%	No
CACNA1G		17q21.33	AMP	4	571	0.7%	No
TCF7L2		10q25.2-q25.3	AMP	4	571	0.7%	Yes
GDF3		12p13.31	AMP	44	571	7.7%	No
MMP20		11q22.2	AMP	12	571	2.1%	No
RPL9P29		17q25.3	AMP	11	571	1.9%	No
MTND1P21		10p12.31	AMP	19	571	3.3%	No
OR2G3		1q44	AMP	27	571	4.7%	No
SMIM6		17q25.1	HOMDEL	2	571	0.4%	No
DCTN1		2p13.1	AMP	15	571	2.6%	Yes
DEPDC4		12q23.1	AMP	1	571	0.2%	No
NPM2		8p21.3	HOMDEL	1	571	0.2%	No
LEFTY3P		1q42.12	AMP	24	571	4.2%	No
CSN2		4q13.3	AMP	16	571	2.8%	No
RN7SL97P		18q11.2	AMP	21	571	3.7%	No
MAS1LP1		6p22.1	AMP	20	571	3.5%	No
COX6CP6		3p13	AMP	6	571	1.1%	No
OLFML2A		9q33.3	AMP	3	571	0.5%	No
SLC26A9		1q32.1	HOMDEL	1	571	0.2%	No
RPLP0P8		3p14.1	AMP	7	571	1.2%	No
SSH3		11q13.2	AMP	8	571	1.4%	No
JPH2		20q13.12	AMP	37	571	6.5%	No
NTMT1		9q34.11	HOMDEL	1	571	0.2%	No
IGHVII-65-1		14q32.33	AMP	19	571	3.3%	No
MMP21		10q26.2	AMP	6	571	1.1%	No
RHBDF1P1		3p25.1	AMP	5	571	0.9%	No
SHD		19p13.3	AMP	1	571	0.2%	No
GNA12		7p22.3-p22.2	HOMDEL	1	571	0.2%	Yes
LINC02841		19q12	AMP	56	571	9.8%	No
COX6B1P4		8p21.2	HOMDEL	2	571	0.4%	No
GABPB2		1q21.3	AMP	45	571	7.9%	No
HDAC3		5q31.3	AMP	1	571	0.2%	No
MYT1L		2p25.3	AMP	12	571	2.1%	No
DTNB		2p23.3	HOMDEL	1	571	0.2%	No
DCTN2		12q13.3	AMP	8	571	1.4%	No
RPLP0P5		1q41	AMP	21	571	3.7%	No
LINC03065		15q21.3	HOMDEL	1	571	0.2%	No
PROB1		5q31.2	AMP	1	571	0.2%	No
RNU6-1098P		3q25.1	AMP	54	571	9.5%	No
SDR42E2		16p12.1	AMP	3	571	0.5%	No
OLFML2B		1q23.3	AMP	18	571	3.2%	No
RNU6-238P		12q13.12	AMP	6	571	1.1%	No
ROCK2		2p25.1	AMP	9	571	1.6%	No
TRGJP2		7p14.1	AMP	8	571	1.4%	No
ANKRD49		11q21	AMP	9	571	1.6%	No
JPH3		16q24.2	AMP	1	571	0.2%	No
HMGB3P32		16q21	AMP	1	571	0.2%	No
TRGJP1		7p14.1	AMP	8	571	1.4%	No
PCDH10-DT		4q28.3	HOMDEL	1	571	0.2%	No
LINC02840		6q25.2	AMP	3	571	0.5%	No
MAML3		4q31.1	AMP	5	571	0.9%	No
RNU6-873P		3p11.2	AMP	14	571	2.5%	No
GABPAP		7q11.21	AMP	12	571	2.1%	No
CROCC		1p36.13	AMP	4	571	0.7%	No
TAS2R19		12p13.2	AMP	49	571	8.6%	No
RASA4CP		7p13	AMP	6	571	1.1%	No
BNAT1		21q22.3	AMP	7	571	1.2%	No
RPLP0P6		2p22.1	AMP	12	571	2.1%	No
LINC01289		8q12.3	AMP	30	571	5.3%	No
HDAC4		2q37.3	AMP	8	571	1.4%	Yes
MTCO1P2		14q12	AMP	5	571	0.9%	No
UBE2D3P4		13q31.1	AMP	9	571	1.6%	No
RNU4-60P		19q13.2	AMP	15	571	2.6%	No
JPH4		14q11.2	AMP	8	571	1.4%	No
CACNA1I		22q13.1	AMP	3	571	0.5%	No
GDF1		19p13.11	AMP	40	571	7.0%	No
RNU6-86P		9q22.1	AMP	2	571	0.4%	No
EMICERI		9p21.2	AMP	8	571	1.4%	No
BMAL2-AS1		12p11.23	AMP	57	571	10.0%	No
P2RX6P		22q11.21	AMP	9	571	1.6%	No
VPS13C-DT		15q22.2	AMP	1	571	0.2%	No
LYRM1		16p12.3	AMP	4	571	0.7%	No
TCF7L1		2p11.2	AMP	18	571	3.2%	No
HDAC1		1p35.2-p35.1	AMP	11	571	1.9%	Yes
PATJ		1p31.3	AMP	5	571	0.9%	No
RNU6-563P		20q13.12	AMP	52	571	9.1%	No
RNU5A-5P		1q42.2	AMP	25	571	4.4%	No
ROCK1		18q11.1	AMP	9	571	1.6%	No
NAA50P2		3q29	AMP	63	571	11.0%	No
ITGB3BP		1p31.3	AMP	6	571	1.1%	No
MRPL27		17q21.33	AMP	5	571	0.9%	No
COX6CP8		8q12.3	AMP	29	571	5.1%	No
FABP5P11		22q11.1	HOMDEL	1	571	0.2%	No
CD302		2q24.2	AMP	17	571	3.0%	No
DCTN3		9p13.3	AMP	5	571	0.9%	No
RPL23AP52		7p21.3	HOMDEL	2	571	0.4%	No
PSMC1P13		13q21.33	AMP	7	571	1.2%	No
LINC01287		7q36.2	AMP	26	571	4.6%	No
RPLP0P4		1q21.3	AMP	29	571	5.1%	No
MTCO1P3		21q22.3	AMP	6	571	1.1%	No
SHF		15q21.1	AMP	1	571	0.2%	No
MAML1		5q35.3	AMP	5	571	0.9%	No
PPFIA1P1		2q37.1	AMP	7	571	1.2%	No
DEPDC7		11p13	AMP	9	571	1.6%	No
NAA50P1		11q12.1	AMP	3	571	0.5%	No
ZNF132-DT		19q13.43	AMP	10	571	1.8%	No
HDAC2		6q21	AMP	5	571	0.9%	Yes
MRPL28		16p13.3	AMP	12	571	2.1%	No
GNA13		17q24.1	HOMDEL	2	571	0.4%	Yes
FAM204CP		13q22.2	HOMDEL	1	571	0.2%	No
SAMD4B		19q13.2	AMP	61	571	10.7%	No
UBE2D3P3		1q21.3	AMP	48	571	8.4%	No
PRH2		12p13.2	AMP	48	571	8.4%	No
TMEM274P		1p36.22	AMP	7	571	1.2%	No
MMP24		20q11.22	AMP	39	571	6.8%	No
SDR42E1		16q23.3	AMP	1	571	0.2%	No
LINC01288		8p12	AMP	6	571	1.1%	No
DZIP1		13q32.1	AMP	8	571	1.4%	No
STMP1		7q33	AMP	24	571	4.2%	No
SHE		1q21.3	AMP	20	571	3.5%	No
MTCO1P4		8q22.3	AMP	46	571	8.1%	No
DCTN4		5q33.1	AMP	2	571	0.4%	No
MAML2		11q21	AMP	7	571	1.2%	Yes
KLRF2		12p13.31	AMP	47	571	8.2%	No
SDC4P		22q12.2	AMP	13	571	2.3%	No
IZUMO3		9p21.3	HOMDEL	9	571	1.6%	No
MROH2B		5p13.1	HOMDEL	1	571	0.2%	No
KLRF1		12p13.31	AMP	47	571	8.2%	No
FAM182B		20p11.1	AMP	28	571	4.9%	No
RNASE11-AS1		14q11.2	AMP	32	571	5.6%	No
OR7E8P		8p23.1	AMP	1	571	0.2%	No
LINC01375		10q23.31	HOMDEL	2	571	0.4%	No
ANKRD46		8q22.3	AMP	44	571	7.7%	No
LINC01432		20p11.22	AMP	24	571	4.2%	No
MTND1P29		2q21.1	AMP	6	571	1.1%	No
PCDHA13		5q31.3	AMP	1	571	0.2%	No
EEF1DP3		13q13.1	AMP	6	571	1.1%	No
RPLP0P2		11q12.2	AMP	1	571	0.2%	No
NPIPB12		16p11.2	AMP	2	571	0.4%	No
RNU7-196P		5q13.2	AMP	1	571	0.2%	No
MRPS21P9		17q21.33	AMP	4	571	0.7%	No
RN7SL184P		4q26	AMP	2	571	0.4%	No
ANKRD45		1q25.1	AMP	14	571	2.5%	No
NCAPH2		22q13.33	AMP	1	571	0.2%	No
MPHOSPH10		2p13.3	AMP	13	571	2.3%	No
TAS2R64P		12p13.2	AMP	47	571	8.2%	No
FAM182A		20p11.1	AMP	29	571	5.1%	No
LINC01433		20p13	AMP	28	571	4.9%	No
TSGA10		2q11.2	AMP	15	571	2.6%	No
RNU6-217P		3p12.3	HOMDEL	1	571	0.2%	No
MMP25		16p13.3	AMP	5	571	0.9%	No
EEF1DP2		9q22.31	AMP	1	571	0.2%	No
PCDHA12		5q31.3	AMP	1	571	0.2%	No
VASH1-DT		14q24.3	AMP	6	571	1.1%	No
SQLE		8q24.13	AMP	112	571	19.6%	No
NPIPB13		16p11.2	AMP	2	571	0.4%	No
LINC00996		7q36.1	AMP	23	571	4.0%	No
TAS2R16		7q31.32	AMP	18	571	3.2%	No
CCDC47		17q23.3	AMP	5	571	0.9%	No
RPLP0P3		14q13.2	AMP	5	571	0.9%	No
LIPK		10q23.31	AMP	1	571	0.2%	No
LINC01374		10q23.31	HOMDEL	2	571	0.4%	No
FAR1P1		13q31.3	AMP	7	571	1.2%	No
GDF9		5q31.1	AMP	4	571	0.7%	No
CACNA1A		19p13.13	AMP	67	571	11.7%	No
LIPM		10q23.31	AMP	1	571	0.2%	No
ANKRD44		2q33.1	AMP	16	571	2.8%	No
SC5D		11q23.3-q24.1	AMP	17	571	3.0%	No
MTND1P27		2q22.1	AMP	8	571	1.4%	No
LINC00993		10p11.21	AMP	20	571	3.5%	No
LYRM9		17q11.2	AMP	4	571	0.7%	No
AGBL5-IT1		2p23.3	AMP	10	571	1.8%	No
MTCYBP33		16p13.13	HOMDEL	1	571	0.2%	No
TPGS2		18q12.2	AMP	9	571	1.6%	No
PCDHA14		5q31.3	AMP	1	571	0.2%	No
RNU6-542P		2p13.1	HOMDEL	1	571	0.2%	No
LINC01431		20p11.21	AMP	28	571	4.9%	No
ENO1P1		1q43	AMP	29	571	5.1%	No
SCNN1B		16p12.2	AMP	3	571	0.5%	No
WSCD1		17p13.2	HOMDEL	1	571	0.2%	No
C1ORF105		1q24.3	AMP	16	571	2.8%	No
IFNW1		9p21.3	HOMDEL	6	571	1.1%	No
EEF1DP1		19p13.12	AMP	65	571	11.4%	No
FRS2		12q15	AMP	24	571	4.2%	Yes
MTCYBP34		22q12.3	HOMDEL	1	571	0.2%	No
MMP27		11q22.2	AMP	12	571	2.1%	No
FAM74A6		9q12	AMP	33	571	5.8%	No
RPLP0P1		20p12.1	AMP	22	571	3.9%	No
ANKRD22		10q23.31	HOMDEL	8	571	1.4%	No
LINC00994		3p14.1	AMP	8	571	1.4%	No
MTND1P28		2q14.1	AMP	8	571	1.4%	No
SHH		7q36.3	AMP	20	571	3.5%	No
DENND3-AS1		8q24.3	AMP	104	571	18.2%	No
CLDN1		3q28	HOMDEL	1	571	0.2%	No
VN1R66P		16p11.2	AMP	2	571	0.4%	No
SCNN1A		12p13.31	AMP	48	571	8.4%	No
TPGS1		19p13.3	AMP	2	571	0.4%	No
FRS3		6p21.1	AMP	23	571	4.0%	No
SCNN1D		1p36.33	AMP	11	571	1.9%	No
GACAT2		18p11.22	AMP	12	571	2.1%	No
TAS2R13		12p13	AMP	48	571	8.4%	No
RBIS		8q21.2	AMP	32	571	5.6%	No
NANOG		12p13.31	AMP	44	571	7.7%	No
PATL2		15q21.1	AMP	1	571	0.2%	No
ZNF863P		2p16.3	AMP	12	571	2.1%	No
DDX39B-AS1		6p21.33	AMP	18	571	3.2%	No
OR4H6BP		15q11.2	AMP	5	571	0.9%	No
RNU6-902P		19q13.31	AMP	15	571	2.6%	No
FAM74A3		9q21.11	AMP	11	571	1.9%	No
GDF7		2p24.1	AMP	9	571	1.6%	No
LINC01436		21q22.12	AMP	8	571	1.4%	No
NPAP1P3		10q23.2	HOMDEL	4	571	0.7%	No
CACNA1C		12p13.33	AMP	47	571	8.2%	No
LYRM7		5q23.3-q31.1	AMP	2	571	0.4%	No
ANKRD42		11q14.1	AMP	18	571	3.2%	No
CSN3		4q13.3	AMP	17	571	3.0%	No
SPDYA		2p23.2	AMP	13	571	2.3%	No
PAIP2		5q31.2	HOMDEL	1	571	0.2%	No
MTND1P26		2q21.1	AMP	5	571	0.9%	No
RNU6-1127P		3q13.33	AMP	21	571	3.7%	No
FTMT		5q23.1	AMP	2	571	0.4%	No
EEF1DP6		1p36.32	AMP	11	571	1.9%	No
CACNA1B		9q34.3	AMP	7	571	1.2%	No
PATL1		11q12.1	AMP	1	571	0.2%	No
CXXC5-AS1		5q31.2	AMP	1	571	0.2%	No
TSR1		17p13.3	AMP	6	571	1.1%	No
PTPRD-AS1		9p24.1	HOMDEL	1	571	0.2%	No
UCN		2p23.3	AMP	10	571	1.8%	No
LIPN		10q23.31	AMP	1	571	0.2%	No
H3C9P		6p22.2	AMP	19	571	3.3%	No
RNU6-548P		2p14	AMP	10	571	1.8%	No
LOXHD1		18q21.1	AMP	5	571	0.9%	No
FAM41C		1p36.33	AMP	11	571	1.9%	No
NATP		8p22	HOMDEL	1	571	0.2%	No
GACAT1		2q12.3	AMP	8	571	1.4%	No
TIGD1		2q37.1	AMP	7	571	1.2%	No
FRMD6-AS2		14q22.1	AMP	3	571	0.5%	No
TSGA13		7q32.2	AMP	18	571	3.2%	No
FAM74A4		9q12	AMP	33	571	5.8%	No
MOB3B		9p21.2	HOMDEL	3	571	0.5%	Yes
EEF1DP5		6q22.33	AMP	5	571	0.9%	No
ALDH3A1		17p11.2	HOMDEL	2	571	0.4%	No
NPIPB11		16p11.2	AMP	2	571	0.4%	No
RNU6-858P		3q29	AMP	64	571	11.2%	No
GZMAP1		5q11.2	AMP	3	571	0.5%	No
WDPCP		2p15	AMP	10	571	1.8%	No
MTND4P34		16p13.13	HOMDEL	1	571	0.2%	No
ATP8B5P		9p13.3	AMP	6	571	1.1%	No
SPATA31E3P		15q11.2	AMP	5	571	0.9%	No
POLG2		17q23.3	AMP	5	571	0.9%	No
HEPACAM		11q24.2	AMP	7	571	1.2%	No
ERMP1		9p24.1	AMP	8	571	1.4%	No
TSR3		16p13.3	AMP	9	571	1.6%	No
TXNL1P1		13q31.1	AMP	10	571	1.8%	No
FBLIM1P2		11p11.2	AMP	5	571	0.9%	No
CACNA1E		1q25.3	AMP	15	571	2.6%	No
MTND1P24		12q12	AMP	12	571	2.1%	No
LINC00997		7p14.3	AMP	9	571	1.6%	No
RRBP1		20p12.1	AMP	25	571	4.4%	No
MRPS36P2		4q35.2	HOMDEL	1	571	0.2%	No
LINC01280		2q35	AMP	9	571	1.6%	No
CRYZP1		7q22.1	AMP	12	571	2.1%	No
PCDHA11		5q31.3	AMP	1	571	0.2%	No
VN1R81P		19p12	AMP	41	571	7.2%	No
DEPDC1		1p31.3	AMP	7	571	1.2%	No
OR4D8P		11q12.1	AMP	1	571	0.2%	No
ALDH3A2		17p11.2	HOMDEL	2	571	0.4%	No
PCDHA10		5q31.3	AMP	1	571	0.2%	No
FAXDC2		5q33.2	AMP	2	571	0.4%	No
SNORA14A		7q11.23	AMP	9	571	1.6%	No
ANKRD40		17q21.33	AMP	3	571	0.5%	No
EEF1DP4		7q11.21	AMP	10	571	1.8%	No
PIWIL4-AS1		11q21	AMP	9	571	1.6%	No
GACAT3		2p24.3	AMP	11	571	1.9%	No
TAS2R14		12p13.2	AMP	48	571	8.4%	No
RNU6-837P		12p12.3	HOMDEL	1	571	0.2%	No
CACNA1D		3p21.1	AMP	6	571	1.1%	Yes
EFNA5		5q21.3	HOMDEL	1	571	0.2%	No
GDF6		8q22.1	AMP	35	571	6.1%	No
CDV3		3q22.1	AMP	23	571	4.0%	No
RPL39P40		21q21.1	AMP	13	571	2.3%	No
LIPT2-AS1		11q13.4	AMP	22	571	3.9%	No
LINC01435		10q25.1	AMP	2	571	0.4%	No
